idno,freehms,gincdif,lrscale,impcntr,euftf,group
9,0.5,0.5,0,1,0.8,1
10,1,1,0,1,0.6000000000000001,1
64,1,1,-0.4,1,0.6000000000000001,1
65,-0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,1
119,1,1,0,1,0.6000000000000001,1
150,1,1,0,-0.33333333333333326,1,1
212,1,1,-0.6,1,0,1
270,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
304,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.8,1
311,1,1,0,0.33333333333333337,-1,1
318,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,1
372,0.5,0.5,-0.19999999999999996,0.33333333333333337,1,1
385,1,1,-0.4,0.33333333333333337,0.19999999999999996,1
458,-1,1,0,-1,-0.6,1
476,0.5,0.5,0,-0.33333333333333326,0,1
506,1,0.5,0,0.33333333333333337,0,1
515,0.5,0.5,0,-0.33333333333333326,0.8,1
533,-0,-0,0.19999999999999996,-0.33333333333333326,-0.6,1
564,0.5,1,0,-0.33333333333333326,1,1
570,1,1,0,0.33333333333333337,0,1
589,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,1
621,1,-1,0.19999999999999996,0.33333333333333337,1,1
636,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,1
641,1,0.5,0,1,0.8,1
662,1,1,-0.6,0.33333333333333337,1,1
704,1,0.5,0.3999999999999999,1,-0.4,1
718,0.5,1,0.19999999999999996,-0.33333333333333326,0.3999999999999999,1
749,0.5,0.5,-0.4,0.33333333333333337,1,1
803,0.5,1,-1,-0.33333333333333326,-0.19999999999999996,1
810,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,1
866,0.5,-0,0,0.33333333333333337,-0.4,1
943,1,0.5,-0.6,0.33333333333333337,-0.4,1
954,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,1
1081,0.5,0.5,-0.19999999999999996,1,0.3999999999999999,1
1101,1,1,0.19999999999999996,0.33333333333333337,1,1
1222,1,-0.5,0,0.33333333333333337,0,1
1255,1,1,-0.4,0.33333333333333337,0,1
1273,0.5,0.5,0,-1,0.6000000000000001,1
1281,1,0.5,0.6000000000000001,-0.33333333333333326,0.6000000000000001,1
1324,0.5,0.5,0.6000000000000001,0.33333333333333337,0.3999999999999999,1
1360,1,0.5,0,1,0.6000000000000001,1
1367,0.5,0.5,0.8,0.33333333333333337,0,1
1378,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,1
1408,0.5,-0,0,0.33333333333333337,1,1
1437,1,-0.5,-0.8,1,0.3999999999999999,1
1441,1,-0.5,0,1,-0.19999999999999996,1
1467,1,0.5,-0.19999999999999996,0.33333333333333337,0,1
1486,1,-0,0.19999999999999996,0.33333333333333337,0.3999999999999999,1
1493,-0.5,0.5,0.3999999999999999,-1,-0.4,1
1504,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,1
1543,1,-0,-0.4,0.33333333333333337,1,1
1546,1,0.5,-0.4,-1,-0.4,1
1559,1,0.5,-0.6,0.33333333333333337,-0.19999999999999996,1
1633,1,-0,-0.4,-0.33333333333333326,0.3999999999999999,1
1657,0.5,0.5,0,0.33333333333333337,0,1
1680,1,1,-1,-0.33333333333333326,0.6000000000000001,1
1714,1,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,1
1728,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.19999999999999996,1
1756,-0,0.5,0,0.33333333333333337,0.19999999999999996,1
1805,1,1,-0.4,0.33333333333333337,0.19999999999999996,1
1833,0.5,-0,-0.19999999999999996,0.33333333333333337,0,1
1836,1,1,-0.4,1,0.19999999999999996,1
1929,0.5,0.5,0,0.33333333333333337,1,1
2012,-1,-1,-0.6,1,1,1
2043,0.5,0.5,-0.4,0.33333333333333337,0.19999999999999996,1
2046,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
2097,0.5,0.5,0,0.33333333333333337,0.6000000000000001,1
2105,0.5,1,-0.6,0.33333333333333337,0.3999999999999999,1
2129,1,0.5,-0.19999999999999996,1,0.6000000000000001,1
2154,0.5,0.5,-0.4,0.33333333333333337,0.8,1
2204,1,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,1
2261,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
2328,0.5,1,0,0.33333333333333337,1,1
