idno,freehms,gincdif,lrscale,impcntr,euftf,group
9,0.5,0.5,0,1,0.8,1
10,1,1,0,1,0.6000000000000001,3
64,1,1,-0.4,1,0.6000000000000001,2
65,-0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,4
119,1,1,0,1,0.6000000000000001,3
150,1,1,0,-0.33333333333333326,1,6
212,1,1,-0.6,1,0,3
270,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
304,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.8,6
311,1,1,0,0.33333333333333337,-1,3
318,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,5
372,0.5,0.5,-0.19999999999999996,0.33333333333333337,1,7
385,1,1,-0.4,0.33333333333333337,0.19999999999999996,3
458,-1,1,0,-1,-0.6,4
476,0.5,0.5,0,-0.33333333333333326,0,5
506,1,0.5,0,0.33333333333333337,0,3
515,0.5,0.5,0,-0.33333333333333326,0.8,6
533,-0,-0,0.19999999999999996,-0.33333333333333326,-0.6,5
564,0.5,1,0,-0.33333333333333326,1,6
570,1,1,0,0.33333333333333337,0,3
589,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,4
621,1,-1,0.19999999999999996,0.33333333333333337,1,4
636,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,2
641,1,0.5,0,1,0.8,1
662,1,1,-0.6,0.33333333333333337,1,7
704,1,0.5,0.3999999999999999,1,-0.4,4
718,0.5,1,0.19999999999999996,-0.33333333333333326,0.3999999999999999,5
749,0.5,0.5,-0.4,0.33333333333333337,1,7
803,0.5,1,-1,-0.33333333333333326,-0.19999999999999996,3
810,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,7
866,0.5,-0,0,0.33333333333333337,-0.4,4
943,1,0.5,-0.6,0.33333333333333337,-0.4,3
954,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,7
1081,0.5,0.5,-0.19999999999999996,1,0.3999999999999999,1
1101,1,1,0.19999999999999996,0.33333333333333337,1,7
1222,1,-0.5,0,0.33333333333333337,0,4
1255,1,1,-0.4,0.33333333333333337,0,3
1273,0.5,0.5,0,-1,0.6000000000000001,6
1281,1,0.5,0.6000000000000001,-0.33333333333333326,0.6000000000000001,6
1324,0.5,0.5,0.6000000000000001,0.33333333333333337,0.3999999999999999,1
1360,1,0.5,0,1,0.6000000000000001,1
1367,0.5,0.5,0.8,0.33333333333333337,0,5
1378,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,4
1408,0.5,-0,0,0.33333333333333337,1,1
1437,1,-0.5,-0.8,1,0.3999999999999999,1
1441,1,-0.5,0,1,-0.19999999999999996,1
1467,1,0.5,-0.19999999999999996,0.33333333333333337,0,3
1486,1,-0,0.19999999999999996,0.33333333333333337,0.3999999999999999,4
1493,-0.5,0.5,0.3999999999999999,-1,-0.4,1
1504,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,4
1543,1,-0,-0.4,0.33333333333333337,1,1
1546,1,0.5,-0.4,-1,-0.4,5
1559,1,0.5,-0.6,0.33333333333333337,-0.19999999999999996,3
1633,1,-0,-0.4,-0.33333333333333326,0.3999999999999999,6
1657,0.5,0.5,0,0.33333333333333337,0,3
1680,1,1,-1,-0.33333333333333326,0.6000000000000001,7
1714,1,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,7
1728,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.19999999999999996,5
1756,-0,0.5,0,0.33333333333333337,0.19999999999999996,4
1805,1,1,-0.4,0.33333333333333337,0.19999999999999996,3
1833,0.5,-0,-0.19999999999999996,0.33333333333333337,0,1
1836,1,1,-0.4,1,0.19999999999999996,3
1929,0.5,0.5,0,0.33333333333333337,1,7
2012,-1,-1,-0.6,1,1,5
2043,0.5,0.5,-0.4,0.33333333333333337,0.19999999999999996,2
2046,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,7
2097,0.5,0.5,0,0.33333333333333337,0.6000000000000001,7
2105,0.5,1,-0.6,0.33333333333333337,0.3999999999999999,7
2129,1,0.5,-0.19999999999999996,1,0.6000000000000001,1
2154,0.5,0.5,-0.4,0.33333333333333337,0.8,7
2204,1,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,3
2261,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
2328,0.5,1,0,0.33333333333333337,1,7
2339,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,6
2402,1,1,0,1,0,3
2434,1,0.5,-1,1,0.19999999999999996,1
2461,0.5,-0,0,-0.33333333333333326,0,5
2567,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
2573,0.5,0.5,0,0.33333333333333337,0.3999999999999999,7
2602,1,0.5,0,0.33333333333333337,1,7
2604,0.5,1,0,0.33333333333333337,0,3
2612,0.5,0.5,0,-0.33333333333333326,0,5
2613,0.5,0.5,0.3999999999999999,-0.33333333333333326,0,5
2626,0.5,0.5,-0.4,0.33333333333333337,-0.6,3
2662,1,0.5,-0.19999999999999996,0.33333333333333337,1,7
2750,1,-0,-0.4,-0.33333333333333326,0,6
2775,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,3
2819,-0.5,-1,0,1,0.3999999999999999,5
2826,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,5
2827,0.5,0.5,0,0.33333333333333337,0.19999999999999996,3
2830,-0,1,-0.19999999999999996,0.33333333333333337,0,4
2844,1,-0,0,0.33333333333333337,-0.8,4
2881,1,0.5,-0.4,-0.33333333333333326,0,5
3005,1,0.5,-0.6,1,0.8,2
3022,-0,1,0.3999999999999999,-0.33333333333333326,-0.6,4
3073,1,1,-1,1,1,2
3082,0.5,-0.5,0.3999999999999999,-0.33333333333333326,-0.19999999999999996,4
3093,1,-0.5,0.3999999999999999,-0.33333333333333326,-0.8,4
3128,1,-0.5,0.3999999999999999,-0.33333333333333326,0.8,4
3204,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,5
3250,1,0.5,0,-0.33333333333333326,-0.19999999999999996,5
3300,1,1,-0.19999999999999996,1,0.3999999999999999,3
3354,0.5,1,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,3
3361,1,1,0.8,-0.33333333333333326,0,5
3396,1,1,-0.19999999999999996,0.33333333333333337,1,7
3410,1,0.5,0,0.33333333333333337,0.3999999999999999,3
3421,1,0.5,-0.4,0.33333333333333337,0,3
3430,1,0.5,-0.4,0.33333333333333337,0.8,7
3436,-0,1,-0.6,-0.33333333333333326,-0.6,3
3455,1,0.5,0,0.33333333333333337,-0.19999999999999996,3
3459,1,0.5,0.3999999999999999,-0.33333333333333326,-0.4,5
3527,0.5,1,0,-0.33333333333333326,-0.19999999999999996,5
3564,1,1,-0.6,1,1,2
3576,0.5,0.5,-0.4,0.33333333333333337,1,7
3597,1,0.5,0.6000000000000001,-0.33333333333333326,-0.4,5
3663,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,5
3668,1,-0.5,-0.19999999999999996,1,1,1
3711,0.5,0.5,-0.8,-0.33333333333333326,0.6000000000000001,7
3759,1,0.5,0.19999999999999996,-0.33333333333333326,-0.6,5
3826,1,0.5,0,0.33333333333333337,0.8,7
3835,0.5,1,-0.19999999999999996,0.33333333333333337,0,3
3844,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.6,5
3846,0.5,1,-0.19999999999999996,-1,-0.19999999999999996,5
3879,0.5,1,-0.8,1,1,2
3970,1,-0.5,0,1,0.6000000000000001,1
4000,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,2
4015,1,1,0,-0.33333333333333326,0.19999999999999996,5
4074,1,-0.5,-0.4,0.33333333333333337,1,1
4177,1,0.5,0,0.33333333333333337,0,3
4179,0.5,1,0,-0.33333333333333326,0.6000000000000001,6
4185,-0,0.5,0,1,0.6000000000000001,4
4202,1,0.5,-0.4,0.33333333333333337,1,7
4203,1,0.5,0,0.33333333333333337,1,7
4207,0.5,-1,0.6000000000000001,0.33333333333333337,1,4
4506,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,7
4524,0.5,1,0,0.33333333333333337,0,3
4559,1,0.5,0,0.33333333333333337,1,7
4568,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,7
4591,1,-1,0.3999999999999999,0.33333333333333337,-1,4
4662,1,1,-0.19999999999999996,0.33333333333333337,1,7
4677,1,0.5,0.3999999999999999,-0.33333333333333326,0.19999999999999996,5
4679,0.5,0.5,0.3999999999999999,-1,-1,5
4685,1,1,-0.6,0.33333333333333337,1,7
4705,1,1,-0.4,0.33333333333333337,0.6000000000000001,7
4736,0.5,1,-0.4,0.33333333333333337,1,7
4825,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,7
4851,0.5,1,0.19999999999999996,-0.33333333333333326,0.19999999999999996,5
4877,0.5,0.5,0,0.33333333333333337,0.3999999999999999,7
4880,1,1,-0.19999999999999996,0.33333333333333337,1,7
4943,0.5,0.5,0,0.33333333333333337,0,3
4964,1,1,-1,1,0.8,2
4988,1,0.5,-0.6,0.33333333333333337,0,3
5001,0.5,-0.5,0,-0.33333333333333326,-0.8,4
5058,1,0.5,-0.19999999999999996,1,1,1
5069,1,0.5,0,0.33333333333333337,0.19999999999999996,3
5088,1,1,-0.4,0.33333333333333337,-0.19999999999999996,3
5201,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0,5
5207,0.5,-0,0.3999999999999999,0.33333333333333337,0.3999999999999999,4
5225,-0.5,-0,-1,-1,0.3999999999999999,6
5278,0.5,0.5,0.3999999999999999,-0.33333333333333326,0.3999999999999999,6
5293,1,0.5,-0.19999999999999996,0.33333333333333337,0,3
5363,1,0.5,-1,0.33333333333333337,0.19999999999999996,2
5384,1,0.5,0,1,0.3999999999999999,1
5424,-0,1,0,-0.33333333333333326,-0.4,4
5455,1,1,-0.19999999999999996,0.33333333333333337,-1,3
5508,1,-0.5,0.19999999999999996,-0.33333333333333326,1,4
5534,0.5,0.5,0,0.33333333333333337,0.19999999999999996,3
5573,1,1,1,-0.33333333333333326,0.3999999999999999,5
5585,1,0.5,-0.6,1,0.6000000000000001,2
5642,1,0.5,0,0.33333333333333337,-0.4,3
5649,0.5,1,1,-0.33333333333333326,0.3999999999999999,4
5651,1,0.5,0,1,0.6000000000000001,1
5682,0.5,-1,0.19999999999999996,-0.33333333333333326,-0.19999999999999996,4
5692,1,0.5,0,-0.33333333333333326,0.6000000000000001,6
5772,-0,0.5,0,-0.33333333333333326,0.3999999999999999,6
5892,0.5,1,0.6000000000000001,0.33333333333333337,0.6000000000000001,4
5893,0.5,1,0,0.33333333333333337,-0.8,3
5907,0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,2
5913,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,4
5952,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,3
5990,0.5,-0.5,0,1,1,4
6032,0.5,0.5,0,0.33333333333333337,-0.19999999999999996,3
6051,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,7
6070,0.5,0.5,0,-0.33333333333333326,-0.4,5
6224,1,-0.5,0,1,0.19999999999999996,1
6323,0.5,-0,-0.4,0.33333333333333337,0.3999999999999999,1
6339,-0.5,1,0,-0.33333333333333326,-0.4,4
6367,1,-0,-0.19999999999999996,1,0.8,1
6495,1,-0,0,-0.33333333333333326,1,4
6554,1,0.5,-1,0.33333333333333337,0,3
6559,1,1,-0.8,1,1,2
6578,0.5,1,0,0.33333333333333337,0.3999999999999999,3
6603,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0,4
6605,0.5,0.5,0,0.33333333333333337,1,7
6619,0.5,1,0.8,0.33333333333333337,1,4
6637,-0,0.5,0,0.33333333333333337,0.3999999999999999,4
6638,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
6654,1,0.5,-0.19999999999999996,-0.33333333333333326,0.3999999999999999,6
6703,0.5,0.5,-0.4,-0.33333333333333326,0,5
6723,1,0.5,-0.19999999999999996,1,1,1
6749,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,1,4
6762,1,-0,-0.4,-0.33333333333333326,0,6
6801,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,7
6821,0.5,0.5,1,-1,-1,5
6823,0.5,-0,0,-0.33333333333333326,0.3999999999999999,6
6844,1,0.5,-0.4,1,0.6000000000000001,2
6916,1,-0,-0.19999999999999996,-0.33333333333333326,0,6
6988,0.5,-0.5,0,-0.33333333333333326,0.3999999999999999,4
7087,1,0.5,-0.6,0.33333333333333337,0.6000000000000001,7
7091,0.5,0.5,0,1,0.8,1
7110,1,1,-1,0.33333333333333337,-1,3
7129,0.5,0.5,-0.4,-0.33333333333333326,0.19999999999999996,7
7155,0.5,-0,0,-0.33333333333333326,-0.4,5
7157,-0,0.5,0,-0.33333333333333326,0.19999999999999996,6
7184,0.5,0.5,0,-0.33333333333333326,0,5
7197,1,-0,-0.19999999999999996,0.33333333333333337,0,1
7238,0.5,0.5,0,-0.33333333333333326,0,5
7239,1,1,-0.4,1,0.19999999999999996,3
