"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"conformity-staticNetwork-groups_WIDE"
"11/06/2022 01:58:49:421 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"1","1","200","-1","100","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9951366318656337","0.8506784710711008","0.9952651315789474","0.5094644367429743","0.9981827027027036","0.2523639663470202","0.9965345971563989","0.40551115962463513","0.9904664935064951","0.8224140450045112","0.9950763076923085","0.4895087970430832","0.9957169811320755","0.42284114812129286","0.9964935135135141","0.23024851764334214","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9386178847026795","0.7858340776168893","0.9411269736842108","0.4991335600023543","0.9770854054054048","0.24413242856737732","0.9664137440758287","0.32631953177115564","0.9394280519480518","0.6353027401536762","0.9408707692307694","0.4593977385712137","0.9132264150943398","0.41078805408390134","0.8973470270270267","0.24349753773633126","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1","200","-1","20","0.9","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9869494325919176","0.8392595037328533","0.9885861842105266","0.5101149342075503","0.994483243243244","0.25165244466718945","0.9904421800947864","0.35697658706395025","0.9850753246753253","0.7828792668006225","0.9883649230769229","0.47681976178300456","0.980714150943396","0.43959638377239446","0.9821335135135127","0.2674541695786742","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1","200","-1","20","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9709448933272803","0.8213116817354866","0.9746914473684211","0.4951360578700765","0.9876551351351347","0.24902737297202196","0.9819786729857825","0.3509312272341706","0.9700670129870135","0.7114286609695548","0.9754012307692308","0.47158900496262424","0.9525037735849061","0.439694102976876","0.9544924324324333","0.25649997056039","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1","200","-1","10","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8821559691330016","0.7065673913562965","0.890832236842105","0.46750534651682935","0.9315762162162159","0.24964818655813695","0.8974189573459712","0.3586463627534595","0.8647932467532471","0.6873267557452571","0.8696184615384617","0.4657371470364101","0.8819396226415096","0.2953425722656727","0.8621124324324319","0.23416048544453769","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","10","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7675049477984565","0.5491916288898855","0.7846769736842109","0.35619054008050693","0.7954605405405404","0.22118157913591668","0.7490208530805683","0.22981648615813813","0.7287677922077924","0.4917459685085645","0.7745679999999998","0.41308628948273773","0.7848358490566032","0.25137290005476093","0.7846735135135134","0.13318030626869087","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1","200","-1","100","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9973025873808382","0.8533756670445749","0.9977809210526312","0.4977441503951045","0.9991070270270278","0.2530567515002394","0.9983227488151666","0.4308818257643943","0.9940259740259734","0.8328900916947507","0.9979126153846147","0.4911973592886853","0.9975320754716981","0.4437821923620556","0.9975859459459455","0.20669192887407006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","100","0.9","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9984947798456527","0.8543726915330445","0.9990000000000014","0.49834011234658276","0.9996659459459473","0.2532546865718247","0.9989781990521344","0.4954054541593395","0.9967833766233773","0.8316916428639566","0.99911076923077","0.49208861913642166","0.9980066037735862","0.444318555133674","0.9984621621621637","0.23053177916945664","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1","200","-1","10","0.9","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9614283250113482","0.7974783218518977","0.9606546052631588","0.5294054822016578","0.980751351351351","0.24937379923773123","0.9726421800947866","0.3598722889626942","0.9534966233766236","0.7574770690486963","0.9616553846153852","0.47766701245847765","0.9544735849056604","0.36708011340616","0.9516513513513516","0.27564924563247856","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","1","200","-1","0.1","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.32822051747616904","0.03757062846115513","0.327516447368421","0.03787691555777782","0.3271881081081082","0.03579067090661612","0.3281199052132703","0.036742749864397586","0.32873350649350613","0.03813339634244837","0.32935569230769207","0.03683457087464975","0.327388679245283","0.03894125997796331","0.3283756756756756","0.03805774979289609","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1","200","-1","1","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.40262360417612386","0.025333208217388447","0.402138157894737","0.02525446482253609","0.4027816216216215","0.025060673695169056","0.40305355450236996","0.02556142667478382","0.4025703896103896","0.025207601087464893","0.4029692307692308","0.024252156753188425","0.40171226415094335","0.026458714091755653","0.4027270270270272","0.025348418034588056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","1","200","-1","1","0.9","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6650282342260548","0.06737249303676732","0.6663894736842104","0.06604216692586826","0.6680432432432428","0.06673154439033292","0.6654905213270135","0.06625819359704718","0.6622254545454547","0.06756195288311537","0.6661680000000001","0.06621912044959319","0.6621188679245282","0.06932683371114798","0.6654572972972973","0.0691006101516839","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","1","200","-1","0.1","0.9","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.3302979573309127","0.07093525517165607","0.33047565789473665","0.07034828557023685","0.3276745945945947","0.06869178965092052","0.3287938388625593","0.0676668001745524","0.3315854545454543","0.07292605635138733","0.3334818461538463","0.07122643407772485","0.32765849056603785","0.0714117266259752","0.33055513513513524","0.07299566433758617","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","1","200","-1","0.1","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.3439605083976399","0.025358643376057644","0.3433368421052632","0.02563797381783777","0.3433902702702704","0.024639845780797157","0.3442687203791467","0.02541689831844886","0.344467012987013","0.025551915861962197","0.344627692307692","0.02442669996619842","0.3431160377358492","0.026466151557610118","0.3437772972972978","0.025117305909983408","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11","1","200","-1","1","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.4412467544257823","0.03783110839793583","0.44095394736842125","0.03779750784203279","0.4414648648648649","0.03694527903795079","0.4414848341232226","0.03711422648100975","0.4406394805194802","0.03777440910095828","0.4418726153846155","0.0365628188010717","0.44023867924528276","0.0398153680709739","0.44176648648648653","0.03868831514650698","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","2","200","-1","100","0.5","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9952802541988192","0.8513686500464077","0.9941763157894734","0.5172013417878896","0.9983708108108115","0.2523865954901396","0.9966327014218017","0.38043310337397857","0.9917896103896103","0.8467243391213893","0.9953630769230765","0.48996537492094105","0.9954179245283019","0.4014261086104007","0.9965800000000007","0.20586330288321458","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","2","200","-1","100","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9972803449841111","0.8526177670892234","0.9962585526315786","0.5180631587027041","0.9992821621621631","0.25304275748998195","0.9982284360189574","0.4426361095024413","0.9952316883116865","0.8491997786613842","0.998014769230769","0.49161587237619686","0.9970820754716989","0.3809747358472904","0.9976378378378374","0.20657328289411575","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","2","200","-1","20","0.7","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9713227417158429","0.8218864018419374","0.9733973684210534","0.5028672463606921","0.987703783783784","0.2501595546394958","0.9845260663507108","0.3191350495417721","0.9709974025974031","0.7312904215605187","0.9768036923076926","0.4825282609168709","0.9527349056603773","0.3942694424895354","0.9525432432432435","0.26217688111882104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
