"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"conformityVariabilityInteraction-staticNetwork-groups_WIDE_RS06-10"
"11/09/2022 16:55:12:604 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"8","6","200","-1","33","0.1","0.8","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8921093962778018","0.7318904763096834","0.8651131578947366","0.4849063487880237","0.9564767567567568","0.23275781880424634","0.917743601895735","0.25657834306135235","0.9038462337662343","0.6639289885646196","0.8885913846153846","0.4504977754042526","0.8446349056603779","0.3970648670190398","0.8709486486486482","0.2023178317725362","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","6","200","-1","33","0.1","0.15","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8429437131184757","0.6651979478647583","0.822876315789474","0.4584302509462014","0.9394918918918919","0.22259207250105706","0.8684620853080569","0.2790879708847762","0.8454612987012989","0.5946692037988487","0.8123335384615384","0.42454487046856226","0.8137132075471701","0.36668555140232945","0.823068648648649","0.19155585224199836","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","6","200","-1","33","0.1","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8525575124829773","0.6785485767137424","0.829696052631579","0.46576925558123533","0.9436075675675679","0.22500900850860717","0.8790587677725117","0.27894816786651355","0.8575594805194804","0.605330232842753","0.8279464615384621","0.42986280184416675","0.8204207547169811","0.38397089933465256","0.8304167567567566","0.1947687432666845","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","6","200","-1","33","0.1","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.816031684067182","0.6273613939064372","0.8104703947368422","0.4216202278454875","0.9215383783783786","0.21461339853104078","0.8366023696682463","0.2758157829967088","0.8121901298701297","0.5480322387555345","0.7698584615384614","0.40899856728997575","0.7871641509433965","0.3628246945156809","0.8054810810810805","0.18270293639041957","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","6","200","-1","33","0.1","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8220893327280979","0.6344675946795313","0.8137092105263154","0.4262981500775479","0.9267059459459462","0.21659844995149422","0.8436109004739342","0.2743727767891876","0.8193449350649351","0.5534097118538936","0.7777003076923077","0.4121373666285332","0.7928915094339625","0.3657067102650429","0.8106956756756754","0.1844949270907559","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","6","200","-1","33","0.1","0.6","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8869575124829769","0.7246747426553434","0.8593046052631583","0.48451317363273444","0.9551502702702702","0.231677282415244","0.9128668246445499","0.26062509326635475","0.8990566233766242","0.6525693548913785","0.8813138461538464","0.44752235251576494","0.8417792452830188","0.39677846291768193","0.8642843243243246","0.201858622579926","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","6","200","-1","33","0.1","0.4","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.876409895596912","0.710481207132355","0.8480223684210524","0.4803425200935874","0.9522605405405408","0.22942517466941656","0.9029071090047391","0.27042074174481573","0.8870103896103899","0.6375127770739185","0.8659606153846153","0.44202973184765126","0.8366679245283015","0.3946048720191383","0.8525064864864861","0.2009724193248609","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","6","200","-1","33","0.1","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8325245574216986","0.6493585139556494","0.8172901315789473","0.4412366277874843","0.9338313513513514","0.2198956212280291","0.8561549763033174","0.27578798144513844","0.8319594805194809","0.5713903571426748","0.7946646153846157","0.4184190176972019","0.8047499999999994","0.36136867335663336","0.8171940540540549","0.18822524728643247","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","6","200","-1","33","0.15","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8566782569223802","0.6831550959891242","0.8351230263157896","0.4533863999840165","0.9387308108108107","0.22212915317689946","0.8866611374407588","0.29804379609350146","0.8531464935064935","0.6002117221586398","0.8292073846153845","0.4300264414339795","0.8363650943396219","0.3798232613949252","0.8386091891891887","0.1974517077777758","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","6","200","-1","33","0.15","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8462687244666378","0.6715765884724932","0.8243519736842104","0.44715595121040747","0.9296724324324325","0.21847580030213692","0.8763317535545021","0.2940454200883817","0.8433698701298699","0.5885946986467241","0.8173464615384614","0.42535617468325065","0.8254264150943401","0.375050672466216","0.8286491891891898","0.19520578670657573","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
