"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"selfCheck-staticNetwork-groups"
"11/05/2022 18:47:24:654 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"2","1","200","-1","20","0.2","0.1","0.5","0.45","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8266299591466189","0.6404109788235679","0.8246868421052629","0.45256607204690624","0.9068389189189185","0.22866277526288706","0.838496208530805","0.35559900529306987","0.8256805194805187","0.4994432642950105","0.7991163076923085","0.424750491191585","0.809141509433962","0.3295531772901827","0.809763783783783","0.17528456583520663","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1","200","-1","100","0.2","0.1","0.5","0.4","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9606040853381771","0.8082275479932095","0.9507697368421054","0.49911099913560975","0.9880097297297292","0.2418295026331161","0.9759952606635082","0.2964814390123672","0.9472779220779218","0.7844972086424834","0.9526726153846166","0.4776704012447223","0.9565754716981134","0.464075716879786","0.9605686486486485","0.19002697914784972","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.2","0.1","0.5","0.55","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8338903313663183","0.6477742304824915","0.8304651315789476","0.45915716115756233","0.9125383783783787","0.2294885297596332","0.8425090047393367","0.35068604416837185","0.8387896103896104","0.49702387103427165","0.8091273846153844","0.4277887363368406","0.8178933962264155","0.31333425575359397","0.8133697297297294","0.17847264778953048","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","20","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8296865183840219","0.6446213103199995","0.8252835526315797","0.44113753269518785","0.9097881081081083","0.2268334838248597","0.8401071090047397","0.35157646353461713","0.833958441558442","0.49612886916882043","0.8023286153846151","0.42347619356916155","0.8123264150943397","0.34669841036962046","0.8109005405405403","0.19473625551608717","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","1","200","-1","20","0.2","0.1","0.5","0.4","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8236620971402621","0.6371537847782036","0.8225677631578954","0.44666936700179083","0.9039989189189195","0.22325011579402046","0.8344867298578201","0.3506952737357868","0.8223018181818185","0.49631994342792235","0.7980332307692309","0.4219079021769171","0.8042971698113208","0.34523284014975764","0.80706972972973","0.18751754743242938","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1","200","-1","20","0.2","0.1","0.5","0.6","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8330862460281429","0.6479322845949402","0.8319513157894732","0.454051985352412","0.9133697297297301","0.22790461595583","0.8411815165876784","0.37471424456503655","0.8389137662337663","0.5003068908971866","0.8090430769230771","0.42823433966013746","0.8081103773584903","0.3258657603774055","0.8140097297297295","0.1794919152903974","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1","200","-1","100","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9642714480254193","0.8123666073322993","0.9563361842105262","0.49142163054135","0.9896518918918922","0.24290913761992455","0.9793246445497635","0.325439406731047","0.9524566233766233","0.7870243479562478","0.9564892307692313","0.479633788669201","0.9605886792452825","0.44018094079391706","0.9621718918918912","0.21547345017216823","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","100","0.2","0.1","0.5","0.45","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9630888788016344","0.8121532039608809","0.9515598684210523","0.5113303966701432","0.9889448648648653","0.24450393450504468","0.9781289099526068","0.3179514849855597","0.9502519480519475","0.7972615809374946","0.9560203076923084","0.47938740080242165","0.9618339622641509","0.463744001243489","0.9627648648648652","0.18988186106601812","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1","200","-1","100","0.2","0.1","0.5","0.55","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9682841579664085","0.8170612892718664","0.958523684210526","0.49431407576722763","0.990671351351352","0.24572860351704034","0.9815426540284363","0.30895136634520703","0.9557018181818187","0.7863073472795703","0.963302153846153","0.4736209565060478","0.9683037735849064","0.4469794599818303","0.9674454054054052","0.19346366306721688","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11","1","200","-1","10","0.2","0.1","0.5","0.4","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6794890603722209","0.4357802740824443","0.699840789473684","0.26827704017402454","0.735372972972973","0.18217572961601278","0.6766014218009484","0.1621852050270282","0.6086862337662332","0.3729364783662921","0.664454769230769","0.3544376588522559","0.6892754716981132","0.19277024027608808","0.7193908108108109","0.08582244425331054","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
