"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"selfCheck-staticNetwork-groups_WIDE"
"11/05/2022 22:41:45:666 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"6","1","200","-1","100","0.2","0.1","0.5","0.25","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9544113481615971","0.8007302094047587","0.941941447368421","0.494577798854576","0.9852324324324325","0.23948741452907524","0.971536018957346","0.2944205014952404","0.9399496103896107","0.7750938574415323","0.9451366153846152","0.46537780732356515","0.9510320754716982","0.4664096376366472","0.9548459459459459","0.21050212237952648","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1","200","-1","100","0.2","0.1","0.5","0.1","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9468420335905583","0.79100055158411","0.9346157894736834","0.4896179553833617","0.9812010810810812","0.23787399856365235","0.9653848341232221","0.2924868868072542","0.9290264935064932","0.7585296479080149","0.935524923076923","0.46055388350474014","0.9452160377358488","0.454352789918965","0.9479691891891887","0.1866641977023539","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","1","200","-1","20","0.2","0.1","0.5","0.1","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8018755333635946","0.611204487135185","0.8035078947368417","0.42524693985342416","0.880112432432432","0.2194228150461361","0.8044502369668252","0.3506186577414206","0.8008036363636357","0.489403757577926","0.7702763076923074","0.4137399660153597","0.7863764150943399","0.3210687062437972","0.796231351351351","0.16809618002055648","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","20","0.2","0.1","0.5","0.75","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8472623694961415","0.669121079726855","0.8387197368421054","0.4653936937543106","0.9243037837837832","0.2283831167878157","0.8601270142180091","0.3479163627939729","0.854252987012987","0.49753925999354365","0.8294572307692304","0.4347097784664575","0.8288603773584903","0.3578513877331609","0.8199972972972983","0.20528185403511526","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1","200","-1","20","0.2","0.1","0.5","0.25","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.815416613708581","0.6241629959947562","0.8170953947368416","0.43877770080866824","0.895052972972973","0.22145529360889366","0.8231464454976305","0.34539375792227","0.8160264935064934","0.47849778519412905","0.7831052307692298","0.4148695456749782","0.7992547169811319","0.3048774932257411","0.8024102702702706","0.17067723648797056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.2","0.1","0.5","0.9","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8531094870630941","0.6759378164766752","0.8443874999999996","0.48589222047492653","0.9312875675675676","0.2294217626512296","0.8690668246445494","0.361309174326299","0.8593641558441559","0.536554672222959","0.8347839999999994","0.4389196493257982","0.8355377358490566","0.3243992230052263","0.8226432432432429","0.18540766001046158","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","100","0.2","0.1","0.5","0.75","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9744181570585555","0.8238956254935415","0.9656144736842107","0.4985973845012399","0.992555675675676","0.24562205234748857","0.9852270142180094","0.3146787384549519","0.965078441558442","0.7903872820243437","0.9712836923076928","0.47791167221827885","0.9745103773584901","0.45282304333034534","0.9726735135135138","0.19556829647992932","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1","200","-1","100","0.2","0.1","0.5","0.9","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.978255832955061","0.8307610576044056","0.9706374999999998","0.510829924101355","0.9937243243243248","0.24713373499179397","0.9882677725118489","0.2992618880753668","0.9703818181818186","0.8073835579646877","0.9752830769230767","0.4799768323014438","0.9777226415094342","0.45615249923383727","0.9764718918918918","0.21840947322985899","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1","200","-1","10","0.2","0.1","0.5","0.1","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6611919201089432","0.43200802848353304","0.6832157894736844","0.27258109439684725","0.7109481081081083","0.17513419116018086","0.6585037914691936","0.16667101485503946","0.5909901298701301","0.38328852557993887","0.6522073846153844","0.34654042755678177","0.6702245283018871","0.1718914495984783","0.6970486486486482","0.08493535621062302","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1","200","-1","10","0.2","0.1","0.5","0.25","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6723751248297763","0.4389165583394906","0.6945710526315791","0.270608382664522","0.7249091891891888","0.177651433071554","0.6696824644549764","0.17304441686480793","0.6019677922077925","0.3836910979296705","0.6613027692307694","0.35497334609434056","0.6832094339622643","0.1648740238838774","0.7077221621621625","0.12467613178926862","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
