"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"socInfluence-staticNetwork-groups"
"11/05/2022 17:26:57:475 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"1","1","200","-1","20","0.2","0.1","0.4","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8233093962778024","0.6337638240712746","0.8214236842105261","0.45300524296566813","0.9097783783783783","0.22600729773533823","0.8280620853080565","0.34353758036556936","0.8283787012987018","0.4869045210005682","0.7933913846153847","0.4218168671706165","0.8027537735849057","0.3089679786573485","0.8089859459459463","0.18950757402658816","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1","200","-1","100","0.2","0.1","0.4","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9546670903313654","0.7983390188644184","0.9408039473684212","0.49597240621164645","0.9879264864864863","0.23969434486565905","0.9734184834123221","0.2891166883644998","0.9422509090909097","0.7607868300092435","0.9436726153846147","0.4744649288775637","0.9496481132075468","0.43495283007510166","0.9534935135135137","0.2102323906486295","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","100","0.2","0.1","0.45","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9604932364956875","0.8063670405985116","0.9492776315789471","0.4890532305868488","0.9886054054054056","0.24118911847425983","0.9773189573459715","0.29609944560445606","0.9475064935064941","0.7777591898440385","0.9516541538461544","0.4783244318208868","0.9579179245283015","0.45235193287801645","0.9592145945945945","0.21420399184134623","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1","200","-1","20","0.2","0.1","0.45","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8291313663186575","0.6430906772165434","0.8258493421052628","0.4551961328283178","0.9092778378378374","0.22476638760826226","0.841908056872037","0.35696672669734275","0.8304524675324669","0.5091186472402907","0.8007396923076925","0.4281849255604501","0.8098009433962268","0.3169637490538035","0.8118221621621631","0.21020412855068513","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1","200","-1","100","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9642714480254193","0.8123666073322993","0.9563361842105262","0.49142163054135","0.9896518918918922","0.24290913761992455","0.9793246445497635","0.325439406731047","0.9524566233766233","0.7870243479562478","0.9564892307692313","0.479633788669201","0.9605886792452825","0.44018094079391706","0.9621718918918912","0.21547345017216823","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","20","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8296865183840219","0.6446213103199995","0.8252835526315797","0.44113753269518785","0.9097881081081083","0.2268334838248597","0.8401071090047397","0.35157646353461713","0.833958441558442","0.49612886916882043","0.8023286153846151","0.42347619356916155","0.8123264150943397","0.34669841036962046","0.8109005405405403","0.19473625551608717","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.2","0.1","0.55","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8328324103495228","0.6488594680241647","0.8243888157894743","0.45296196856958665","0.9103362162162159","0.2269461667687807","0.8450355450236968","0.3597142333579321","0.8348264935064942","0.507144347242194","0.8105833846153846","0.428755332286941","0.8182820754716978","0.3291461408810143","0.8129048648648645","0.18112593123456755","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1","200","-1","20","0.2","0.1","0.6","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.835293871992737","0.6530905607435756","0.8285500000000006","0.4572230575252593","0.9131210810810806","0.22729083727865856","0.8493208530805687","0.36212792242729447","0.8362675324675324","0.5052678927419313","0.8137439999999995","0.421250173300135","0.818068867924528","0.345673282538798","0.8137081081081089","0.1816595222473192","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11","1","200","-1","10","0.2","0.1","0.4","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.695915024965956","0.4509310619440621","0.7224263157894741","0.2732744787225517","0.7546810810810808","0.18340028662692637","0.6921943127962089","0.17139623125795328","0.6273387012987014","0.3772375667577548","0.6712043076923073","0.36110334610515","0.7068547169811316","0.19476225370924924","0.7357870270270274","0.1306580917721273","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","1","200","-1","10","0.2","0.1","0.45","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6906932364956871","0.4494289519984127","0.7177967105263159","0.26973275433503846","0.7481427027027026","0.1833267840084365","0.6849597156398108","0.17254113859687384","0.6209901298701299","0.3864213248315712","0.6725741538461534","0.35153874791070294","0.6987952830188682","0.21394122979003966","0.7300410810810812","0.08551355624986337","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
