"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"socInfluence-staticNetwork-groups_WIDE"
"11/05/2022 21:42:15:333 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"1","1","200","-1","20","0.2","0.1","0.1","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7562106218792557","0.5495294467304811","0.8078256578947365","0.40145700043455834","0.9009697297297297","0.21967699619455158","0.7466578199052133","0.28600009136147464","0.692605714285714","0.48581697377492095","0.6892750769230773","0.3931185497980888","0.7327811320754714","0.2946302213359657","0.7907210810810817","0.17659537692483204","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1","200","-1","100","0.2","0.1","0.1","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8408271448025413","0.6653118967117763","0.8287776315789476","0.4622209292489474","0.958948108108108","0.22534126498660526","0.8668800947867297","0.294872547790506","0.8198587012987003","0.6722242866568621","0.7983470769230767","0.42555199598990995","0.8199613207547166","0.40849929768655724","0.8330400000000002","0.20270358346567194","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1","200","-1","100","0.2","0.1","0.25","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9243367226509299","0.7633794855544618","0.9017335526315792","0.46299571054938493","0.9815318918918916","0.23292664103732763","0.9514213270142176","0.30520685538430664","0.9085859740259747","0.7585538612387502","0.9073735384615388","0.46282893291530575","0.9001462264150947","0.4533089172760928","0.9285691891891888","0.1971591240293173","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1","200","-1","20","0.2","0.1","0.25","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8087901951883797","0.6116476738843205","0.8202901315789474","0.42282597408621203","0.9075027027027025","0.2188527458751698","0.8066786729857819","0.33525528608163885","0.8031828571428574","0.5066111426978968","0.7683249230769235","0.4168031705644114","0.7835783018867921","0.3123480558756517","0.8082178378378378","0.17254313034568775","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1","200","-1","10","0.2","0.1","0.1","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6731070358601887","0.4439296522433701","0.7390526315789475","0.3196171847978185","0.8169437837837839","0.20084541523968644","0.6699502369668243","0.22423841163348485","0.5578992207792209","0.3881323798233624","0.6076350769230772","0.3572225390631227","0.666001886792453","0.22018331435670108","0.732065405405405","0.13854839202200048","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1","200","-1","10","0.2","0.1","0.25","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7004716295960077","0.4497144137064356","0.7393526315789473","0.2975325648802495","0.7758216216216216","0.18857287979200735","0.6971540284360184","0.1715424207948178","0.6275132467532469","0.3811976462209955","0.6605304615384615","0.3522200888793434","0.7013216981132074","0.18527633261424434","0.7451475675675672","0.10978766904878619","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","1","200","-1","1","0.2","0.1","0.1","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.3804046300499319","0.07086478268731883","0.38456776315789487","0.06840935451300267","0.4090194594594596","0.07026455606807905","0.3804990521327015","0.067114366844004","0.36669766233766266","0.07165109281541042","0.3660559999999998","0.06768395922415568","0.3761188679245283","0.06792848415632591","0.3918908108108109","0.06910942336229833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","100","0.2","0.1","0.75","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9783391738538331","0.829845888265224","0.9736848684210534","0.49890946998053376","0.9916540540540547","0.24604529235814948","0.9863469194312792","0.32828291755914757","0.9674457142857145","0.8079961774186325","0.9748547692307692","0.48836190407158175","0.9836235849056605","0.4365562210752653","0.9777405405405404","0.19971612067501704","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","20","0.2","0.1","0.75","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.840880617339989","0.6605505306479607","0.8321875000000005","0.46088761270290773","0.9131210810810805","0.2254942566395121","0.8590744075829383","0.3684503705863035","0.8442924675324679","0.49841319288003155","0.821692923076923","0.43249795041571515","0.8240433962264155","0.33339536501991585","0.8141032432432427","0.18085812315538344","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.2","0.1","0.9","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8402109850204271","0.6601309526274897","0.8290585526315791","0.4572382753276635","0.908365405405406","0.22465216073416125","0.860645497630332","0.35531302464526293","0.8430945454545455","0.5179678071599656","0.8204566153846153","0.431949065967382","0.8318566037735853","0.30754242302560886","0.8111286486486481","0.18121012539865095","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
