"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"variability-staticNetwork-groups"
"11/05/2022 15:39:34:261 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"5","1","200","-1","20","0.2","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8633813890149804","0.6946145172286865","0.8449348684210525","0.47343145694383343","0.9363189189189193","0.23174979260721057","0.8859445497630333","0.3454688843943025","0.8783662337662331","0.5184891369759568","0.8535981538461543","0.44045511288223793","0.837460377358491","0.36254194325194716","0.8241875675675671","0.2100229104995373","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1","200","-1","20","0.2","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8093072174307775","0.6152540249650358","0.8149914473684209","0.42030423805582207","0.8896302702702696","0.22220240295154664","0.8108734597156394","0.3443105720610736","0.8099418181818177","0.47683810744256394","0.7741323076923077","0.4127018074994254","0.7926141509433962","0.335566708405415","0.8024902702702705","0.1695703292707126","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","1","200","-1","20","0.2","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7947463458919652","0.6008799098290869","0.8021585526315793","0.4098358081645661","0.8719935135135133","0.21781363820904182","0.7958331753554497","0.3372148569011083","0.7937527272727276","0.46812057102676413","0.758260307692307","0.4069821074507054","0.7790641509433961","0.3296630850859411","0.7908610810810813","0.1658798075853226","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1","200","-1","100","0.2","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9418109850204249","0.7846943993931917","0.9316993421052626","0.4767883492289152","0.9797048648648647","0.2362398246061265","0.961018483412323","0.3080343635475193","0.92424","0.7558815681051961","0.9258160000000005","0.46532479368024837","0.9367867924528301","0.4573272129454999","0.9444767567567567","0.20713203789083737","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1","200","-1","20","0.2","0.15","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8467873808443039","0.67085194323515","0.8350624999999999","0.46160634069677436","0.9252086486486484","0.22913978831209744","0.8608327014218004","0.3651697126037649","0.8580519480519481","0.5025517031956449","0.8287544615384611","0.4329858501217568","0.826162264150943","0.3555077614355425","0.8171270270270272","0.20302601134896686","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1","200","-1","100","0.2","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9536707217430787","0.7985838516777154","0.9443217105263157","0.4844517606581683","0.9863199999999994","0.23956818573640498","0.972105687203792","0.3131584882533245","0.9380192207792213","0.7678913293053216","0.9409464615384611","0.4726174700395654","0.9523933962264151","0.4565563260610007","0.9521962162162158","0.21105881387325653","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1","200","-1","20","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8296865183840219","0.6446213103199995","0.8252835526315797","0.44113753269518785","0.9097881081081083","0.2268334838248597","0.8401071090047397","0.35157646353461713","0.833958441558442","0.49612886916882043","0.8023286153846151","0.42347619356916155","0.8123264150943397","0.34669841036962046","0.8109005405405403","0.19473625551608717","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1","200","-1","100","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9642714480254193","0.8123666073322993","0.9563361842105262","0.49142163054135","0.9896518918918922","0.24290913761992455","0.9793246445497635","0.325439406731047","0.9524566233766233","0.7870243479562478","0.9564892307692313","0.479633788669201","0.9605886792452825","0.44018094079391706","0.9621718918918912","0.21547345017216823","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1","200","-1","100","0.2","0.15","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9721272809804822","0.8223748032084706","0.9656177631578953","0.4959090611122732","0.9910724324324326","0.24597464833687935","0.9830222748815162","0.3222909609018304","0.9628867532467537","0.7965668662997204","0.9666818461538462","0.4847414144903718","0.9706122641509433","0.4365629745469617","0.970843243243243","0.2213151084295802","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","1","200","-1","10","0.2","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.664983931003177","0.4238138650046297","0.688430263157895","0.24686698532738757","0.71755027027027","0.17347084990549003","0.6607672985781983","0.14972131668405014","0.5975792207792205","0.37003778135953136","0.6507741538461541","0.347417818116935","0.674135849056604","0.15404244011623908","0.7016210810810815","0.11518101971481232","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","1","200","-1","10","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6859459827507943","0.44326421566591734","0.7099506578947368","0.2722280554663557","0.7401600000000002","0.18177361714241957","0.6792516587677724","0.15331961777493858","0.6176332467532464","0.37943369699641805","0.6725673846153855","0.3559706176294865","0.6977547169811315","0.1510862629889358","0.7228189189189195","0.12624793582524868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11","1","200","-1","10","0.2","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.6547123921924654","0.4177343833739055","0.6763190789473683","0.2501907484338247","0.704267027027027","0.16984086053362343","0.6506895734597153","0.14949418434206374","0.5882218181818183","0.36603609820544436","0.6424209230769233","0.34496202787154684","0.6647471698113204","0.1532160313709247","0.6910037837837837","0.11440127662374833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1","200","-1","100","0.2","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9766088061733988","0.8281200602471556","0.9711763157894735","0.498233871365377","0.9918648648648654","0.24769326422073834","0.985027962085308","0.3244459206535051","0.9690238961038966","0.7994386483796172","0.9723575384615385","0.4878251577113325","0.9755896226415093","0.4314277163600996","0.9760524324324326","0.22356524352412926","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","1","200","-1","10","0.2","0.15","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7011402632773488","0.4624916532493487","0.7249657894736843","0.29318613216702205","0.7535102702702703","0.1874905438706287","0.6896274881516589","0.15901569520216524","0.6366987012987007","0.39604009977000654","0.6921643076923079","0.3670965357498373","0.7152000000000001","0.15161991376697567","0.7353929729729729","0.13165143754010636","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","1","200","-1","10","0.2","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.7120286881525203","0.4790598277857188","0.7362914473684202","0.3123120448085245","0.7622918918918916","0.19375619635759714","0.6954037914691938","0.1652923989085336","0.6489896103896104","0.4089855084861167","0.7104141538461536","0.3739972017364358","0.7292726415094338","0.18112441061786927","0.7430562162162169","0.13669118286417967","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
