2201
idno,freehms,gincdif,lrscale,impcntr,euftf,group,cluster_exclusion
9,0.5,0.5,0,1,0.8,1,FALSE
10,1,1,0,1,0.6000000000000001,2,FALSE
64,1,1,-0.4,1,0.6000000000000001,5,FALSE
65,-0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,4,FALSE
119,1,1,0,1,0.6000000000000001,2,FALSE
150,1,1,0,-0.33333333333333326,1,6,FALSE
212,1,1,-0.6,1,0,2,FALSE
270,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
304,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.8,3,FALSE
311,1,1,0,0.33333333333333337,-1,2,FALSE
318,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,6,FALSE
372,0.5,0.5,-0.19999999999999996,0.33333333333333337,1,3,FALSE
385,1,1,-0.4,0.33333333333333337,0.19999999999999996,2,FALSE
458,-1,1,0,-1,-0.6,1,FALSE
476,0.5,0.5,0,-0.33333333333333326,0,6,FALSE
506,1,0.5,0,0.33333333333333337,0,2,FALSE
515,0.5,0.5,0,-0.33333333333333326,0.8,3,FALSE
533,-0,-0,0.19999999999999996,-0.33333333333333326,-0.6,3,FALSE
564,0.5,1,0,-0.33333333333333326,1,3,FALSE
570,1,1,0,0.33333333333333337,0,2,FALSE
589,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,1,FALSE
621,1,-1,0.19999999999999996,0.33333333333333337,1,4,FALSE
636,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,2,FALSE
641,1,0.5,0,1,0.8,1,FALSE
662,1,1,-0.6,0.33333333333333337,1,6,FALSE
704,1,0.5,0.3999999999999999,1,-0.4,2,FALSE
718,0.5,1,0.19999999999999996,-0.33333333333333326,0.3999999999999999,1,FALSE
749,0.5,0.5,-0.4,0.33333333333333337,1,3,FALSE
803,0.5,1,-1,-0.33333333333333326,-0.19999999999999996,6,FALSE
810,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
866,0.5,-0,0,0.33333333333333337,-0.4,4,FALSE
943,1,0.5,-0.6,0.33333333333333337,-0.4,2,FALSE
954,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
1081,0.5,0.5,-0.19999999999999996,1,0.3999999999999999,2,FALSE
1101,1,1,0.19999999999999996,0.33333333333333337,1,6,FALSE
1222,1,-0.5,0,0.33333333333333337,0,4,FALSE
1255,1,1,-0.4,0.33333333333333337,0,2,FALSE
1273,0.5,0.5,0,-1,0.6000000000000001,3,FALSE
1281,1,0.5,0.6000000000000001,-0.33333333333333326,0.6000000000000001,4,FALSE
1324,0.5,0.5,0.6000000000000001,0.33333333333333337,0.3999999999999999,1,FALSE
1360,1,0.5,0,1,0.6000000000000001,1,FALSE
1367,0.5,0.5,0.8,0.33333333333333337,0,3,FALSE
1378,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,1,FALSE
1408,0.5,-0,0,0.33333333333333337,1,4,FALSE
1437,1,-0.5,-0.8,1,0.3999999999999999,1,FALSE
1441,1,-0.5,0,1,-0.19999999999999996,4,FALSE
1467,1,0.5,-0.19999999999999996,0.33333333333333337,0,2,FALSE
1486,1,-0,0.19999999999999996,0.33333333333333337,0.3999999999999999,4,FALSE
1493,-0.5,0.5,0.3999999999999999,-1,-0.4,1,FALSE
1504,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,4,FALSE
1543,1,-0,-0.4,0.33333333333333337,1,3,FALSE
1546,1,0.5,-0.4,-1,-0.4,6,FALSE
1559,1,0.5,-0.6,0.33333333333333337,-0.19999999999999996,2,FALSE
1633,1,-0,-0.4,-0.33333333333333326,0.3999999999999999,3,FALSE
1657,0.5,0.5,0,0.33333333333333337,0,2,FALSE
1680,1,1,-1,-0.33333333333333326,0.6000000000000001,6,FALSE
1714,1,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,3,FALSE
1728,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.19999999999999996,6,FALSE
1756,-0,0.5,0,0.33333333333333337,0.19999999999999996,4,FALSE
1805,1,1,-0.4,0.33333333333333337,0.19999999999999996,2,FALSE
1833,0.5,-0,-0.19999999999999996,0.33333333333333337,0,1,FALSE
1836,1,1,-0.4,1,0.19999999999999996,2,FALSE
