freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.33619887749958194,0.07501470844741312,0.13234210718760228,0.04890490796419023,freehms,1
0.33619887749958194,1,0.034063499048829854,-0.1989718484913605,-0.00651382346595765,gincdif,1
0.07501470844741312,0.034063499048829854,1,0.0910707233236808,0.10021191969569117,lrscale,1
0.13234210718760228,-0.1989718484913605,0.0910707233236808,1,0.20333226805978744,impcntr,1
0.04890490796419023,-0.00651382346595765,0.10021191969569117,0.20333226805978744,1,euftf,1
1,-0.32905748684936775,0.1819470879390205,0.44683457243793445,0.13593831594329778,freehms,2
-0.32905748684936775,1,0.0020967931960702603,-0.1227341918573035,-0.13259395994960868,gincdif,2
0.1819470879390205,0.0020967931960702603,1,0.2884531653388284,0.0968854548018936,lrscale,2
0.44683457243793445,-0.1227341918573035,0.2884531653388284,1,0.1813632949952892,impcntr,2
0.13593831594329778,-0.13259395994960868,0.0968854548018936,0.1813632949952892,1,euftf,2
1,0.32243570194140114,0.06082691404212334,0.14672305061726637,0.1340211958972704,freehms,3
0.32243570194140114,1,-0.2955925496416032,0.45495454674151586,-0.14341730041082246,gincdif,3
0.06082691404212334,-0.2955925496416032,1,0.12010650122428669,0.0463945167296913,lrscale,3
0.14672305061726637,0.45495454674151586,0.12010650122428669,1,0.1334431107387805,impcntr,3
0.1340211958972704,-0.14341730041082246,0.0463945167296913,0.1334431107387805,1,euftf,3
