freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.6843635019415203,0.12965920627015223,0.6030504548763652,0.3476260295087393,freehms,1
-0.6843635019415203,1,0.0652328540367013,-0.3342440037918484,-0.07966191264797226,gincdif,1
0.12965920627015223,0.0652328540367013,1,0.20077720124617243,0.25820078094699306,lrscale,1
0.6030504548763652,-0.3342440037918484,0.20077720124617243,1,0.31950356745846625,impcntr,1
0.3476260295087393,-0.07966191264797226,0.25820078094699306,0.31950356745846625,1,euftf,1
1,0.4383978980074899,0.124994080942238,0.011981130284195899,0.14646831286819925,freehms,2
0.4383978980074899,1,-0.0034128243230043356,-0.2236624295208337,0.1778970435769096,gincdif,2
0.124994080942238,-0.0034128243230043356,1,0.05567825302568938,0.17345749015273726,lrscale,2
0.011981130284195899,-0.2236624295208337,0.05567825302568938,1,0.2684973005841858,impcntr,2
0.14646831286819925,0.1778970435769096,0.17345749015273726,0.2684973005841858,1,euftf,2
1,0.3511960336518907,0.1650855677319275,0.23489889471247058,0.23786310847391195,freehms,3
0.3511960336518907,1,-0.13119943503020812,0.6331330332776814,-0.2326646314063006,gincdif,3
0.1650855677319275,-0.13119943503020812,1,-0.0796098619145614,0.1162232959245842,lrscale,3
0.23489889471247058,0.6331330332776814,-0.0796098619145614,1,-0.11975540530187807,impcntr,3
0.23786310847391195,-0.2326646314063006,0.1162232959245842,-0.11975540530187807,1,euftf,3
