freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.024326197283197033,0.022330948526187104,-0.032686202268954426,0.20025240390568938,freehms,1
0.024326197283197033,1,-0.22855732736692672,0.3891520950040499,-0.5240924862022456,gincdif,1
0.022330948526187104,-0.22855732736692672,1,0.3015182039109452,0.45474705832384704,lrscale,1
-0.032686202268954426,0.3891520950040499,0.3015182039109452,1,0.03782840325007446,impcntr,1
0.20025240390568938,-0.5240924862022456,0.45474705832384704,0.03782840325007446,1,euftf,1
1,0.35260205200444705,-0.08763102126266227,0.01623506524460637,0.20446473526004344,freehms,2
0.35260205200444705,1,-0.2190131503441351,0.45242044273804727,0.4655650540361341,gincdif,2
-0.08763102126266227,-0.2190131503441351,1,0.06034998468333057,-0.1653158725169828,lrscale,2
0.01623506524460637,0.45242044273804727,0.06034998468333057,1,0.3649668864143317,impcntr,2
0.20446473526004344,0.4655650540361341,-0.1653158725169828,0.3649668864143317,1,euftf,2
1,-0.2937929473037473,-0.02275511672916424,0.4811393446112864,0.5022558329575292,freehms,3
-0.2937929473037473,1,0.16826081680786187,-0.5319774789437267,-0.4145258900028694,gincdif,3
-0.02275511672916424,0.16826081680786187,1,0.12134791686580003,0.0418019878408221,lrscale,3
0.4811393446112864,-0.5319774789437267,0.12134791686580003,1,0.7400675006645772,impcntr,3
0.5022558329575292,-0.4145258900028694,0.0418019878408221,0.7400675006645772,1,euftf,3
1,-0.20645039766296294,0.1669602650881803,0.26887151659767566,-0.33648237983634005,freehms,4
-0.20645039766296294,1,0.02011341662650023,-0.15492832525691758,0.5420700566233588,gincdif,4
0.1669602650881803,0.02011341662650023,1,0.1881972228294011,0.135976490713023,lrscale,4
0.26887151659767566,-0.15492832525691758,0.1881972228294011,1,-0.4358660027576851,impcntr,4
-0.33648237983634005,0.5420700566233588,0.135976490713023,-0.4358660027576851,1,euftf,4
