freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.231277682887088,-0.3101614927219372,0.4108728812554283,-0.13756764481332642,freehms,1
0.231277682887088,1,-0.22605087534034127,0.40439422983188544,-0.10761221340790242,gincdif,1
-0.3101614927219372,-0.22605087534034127,1,-0.2803475295834242,0.5766776940379705,lrscale,1
0.4108728812554283,0.40439422983188544,-0.2803475295834242,1,-0.07375818158148328,impcntr,1
-0.13756764481332642,-0.10761221340790242,0.5766776940379705,-0.07375818158148328,1,euftf,1
1,-0.5666622649519929,0.1424523715118593,0.5844330048736175,0.1615197816420139,freehms,2
-0.5666622649519929,1,0.30098657981710236,-0.42906520510011,-0.1411530849113484,gincdif,2
0.1424523715118593,0.30098657981710236,1,-0.1493701998466834,-0.02472449756010689,lrscale,2
0.5844330048736175,-0.42906520510011,-0.1493701998466834,1,0.1635784341941111,impcntr,2
0.1615197816420139,-0.1411530849113484,-0.02472449756010689,0.1635784341941111,1,euftf,2
1,0.17964490092940766,-0.33100471315489033,0.35345918253360975,0.5261350310932782,freehms,3
0.17964490092940766,1,-0.2457959790080851,0.33113308926626095,0.42330883013159937,gincdif,3
-0.33100471315489033,-0.2457959790080851,1,-0.0629401393187704,-0.3824735935641447,lrscale,3
0.35345918253360975,0.33113308926626095,-0.0629401393187704,1,0.43068347788646677,impcntr,3
0.5261350310932782,0.42330883013159937,-0.3824735935641447,0.43068347788646677,1,euftf,3
1,0.3687534445796454,0.2557542958003723,-0.03744929997411742,0.11142455240455122,freehms,4
0.3687534445796454,1,0.051717967073468096,-0.19791217117729148,0.19001083439395203,gincdif,4
0.2557542958003723,0.051717967073468096,1,0.11671008786130123,0.1381115115322443,lrscale,4
-0.03744929997411742,-0.19791217117729148,0.11671008786130123,1,0.05548710328431141,impcntr,4
0.11142455240455122,0.19001083439395203,0.1381115115322443,0.05548710328431141,1,euftf,4
